Iterations: 20 
      populationSize |     numOfGenerations |        Max |        Min |    Average |     Rounds 
                2800 |                 1200 |  176582 ms |       8 ms |    8922 ms |         21 
                2800 |                 1300 |   40401 ms |      20 ms |    2091 ms |         20 
                2800 |                 1400 |  251699 ms |      17 ms |   13429 ms |         21 
                2800 |                 1500 |     130 ms |      13 ms |      61 ms |         20 
                2900 |                  500 |     195 ms |      15 ms |      61 ms |         20 
                2900 |                  600 |     378 ms |      23 ms |      89 ms |         20 
                2900 |                  700 |     139 ms |      26 ms |      63 ms |         20 
                2900 |                  800 |   84302 ms |      12 ms |    4279 ms |         21 
                2900 |                  900 |     167 ms |      15 ms |      63 ms |         20 
                2900 |                 1000 |  131687 ms |       8 ms |    8271 ms |         21 
                2900 |                 1100 |     150 ms |      13 ms |      58 ms |         20 
                2900 |                 1200 |    2248 ms |      29 ms |     205 ms |         20 
                2900 |                 1300 |     121 ms |      13 ms |      52 ms |         20 
                2900 |                 1400 |     139 ms |       1 ms |      46 ms |         20 
                2900 |                 1500 |  299706 ms |      14 ms |   15064 ms |         21 
                3000 |                  500 |     217 ms |       8 ms |      64 ms |         20 
                3000 |                  600 |   50740 ms |      22 ms |    5750 ms |         22 
                3000 |                  700 |     270 ms |      31 ms |      81 ms |         20 
                3000 |                  800 |     198 ms |      16 ms |      61 ms |         20 
                3000 |                  900 |     167 ms |      21 ms |      73 ms |         20 
                3000 |                 1000 |     255 ms |      18 ms |      72 ms |         20 
                3000 |                 1100 |    2274 ms |      24 ms |     205 ms |         20 
                3000 |                 1200 |  202659 ms |      19 ms |   10357 ms |         21 
                3000 |                 1300 |     177 ms |      11 ms |      64 ms |         20 
                3000 |                 1400 |  277276 ms |      13 ms |   13944 ms |         21 
                3000 |                 1500 |     180 ms |      26 ms |      61 ms |         20 
Best: 44 ms
